STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location
30091,S,Merchandise Mart (Loop-bound),Merchandise Mart,40460,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"(41.888969, -87.633924)"
30182,S,Midway (Arrival),Midway,40930,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"(41.78661, -87.737875)"
30181,N,Midway (Loop-bound),Midway,40930,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"(41.78661, -87.737875)"
30260,S,Montrose (Forest Pk-bound),Montrose,41330,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.961539, -87.743574)"
30259,N,Montrose (O'Hare-bound),Montrose,41330,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.961539, -87.743574)"
30287,N,Montrose (Kimball-bound),Montrose,41500,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.961756, -87.675047)"
30288,S,Montrose (Loop-bound),Montrose,41500,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.961756, -87.675047)"
30296,W,Morgan (Harlem-54th/Cermak-bound),Morgan,41510,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"(41.885586, -87.652193)"
30295,E,Morgan (Loop-63rd-bound),Morgan,41510,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"(41.885586, -87.652193)"
30021,S,Morse (95th-bound),Morse,40100,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(42.008362, -87.665909)"
30290,S,Lake (95th-bound),Lake,41660,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.884809, -87.627813)"
30154,S,Monroe (Forest Pk-bound),Monroe,40790,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.880703, -87.629378)"
30212,S,Monroe (95th-bound),Monroe,41090,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.880745, -87.627696)"
30211,N,Monroe (Howard-bound),Monroe,41090,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.880745, -87.627696)"
30153,N,Monroe (O'Hare-bound),Monroe,40790,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.880703, -87.629378)"
30020,N,Morse (Howard-bound),Morse,40100,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(42.008362, -87.665909)"
30126,S,North/Clybourn (95th-bound),North/Clybourn,40650,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.910655, -87.649177)"
30125,N,North/Clybourn (Howard-bound),North/Clybourn,40650,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.910655, -87.649177)"
30079,S,Noyes (Howard-Loop-bound),Noyes,40400,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"(42.058282, -87.683337)"
